Designator,Mid X,Mid Y,Layer,Rotation
1,46.20, 8.89,Top,270.0
2,48.58, 8.89,Top,270.0
3, 4.60,18.10,Top,270.0
4, 1.27, 5.40,Top,270.0
5, 3.49, 5.40,Top,270.0
6, 8.10, 5.40,Top,90.0
7, 2.22,13.97,Top,0.0
8, 2.22,11.75,Top,180.0
9,14.29, 8.89,Top,270.0
10,10.48, 5.40,Top,270.0
11,12.54, 5.40,Top,90.0
12,10.79,14.64,Top,90.0
13, 8.73,18.10,Top,90.0
14,13.02,14.61,Top,90.0
15,15.24,18.10,Top,90.0
16,15.24,14.61,Top,270.0
17,17.62,18.10,Top,270.0
18,20.80,18.10,Top,90.0
19,27.46,18.10,Top,90.0
20,29.69,18.10,Top,270.0
21,17.46, 5.40,Top,90.0
22,23.02,14.61,Top,270.0
23,20.80, 5.40,Top,90.0
24,23.02, 5.40,Top,270.0
25,38.10,13.97,Top,0.0
26,42.55,18.10,Top,270.0
27,45.56, 5.40,Top,90.0
28,47.78, 5.40,Top,90.0
29,40.32,18.10,Top,90.0
30,43.34, 5.40,Top,270.0
31,15.08, 5.40,Top,270.0
32,37.94, 5.48,Top,270.0
33,45.96,14.05,Top,90.0
34, 6.35,19.37,Top,90.0
35,37.94, 8.89,Top,270.0
36, 7.62,19.37,Top,90.0
37, 4.60,47.31,Top,270.0
38,35.40,18.10,Top,270.0
39,25.24,14.61,Top,270.0
40,31.91,18.10,Top,270.0
41,29.69,14.61,Top,270.0
42, 1.27,34.61,Top,270.0
43, 3.49,34.61,Top,270.0
44,29.69, 8.89,Top,90.0
45,27.46, 5.40,Top,270.0
46,29.69, 5.40,Top,270.0
47,25.24, 8.89,Top,90.0
48,35.40, 5.40,Top,270.0
49,31.91, 5.40,Top,270.0
50, 8.10,34.61,Top,90.0
51, 2.22,43.18,Top,0.0
52, 2.22,40.96,Top,180.0
53,10.48,34.61,Top,270.0
54,12.54,34.61,Top,90.0
55,10.79,43.85,Top,90.0
56, 8.73,47.31,Top,90.0
57,13.02,43.82,Top,90.0
58,15.24,47.31,Top,90.0
59,15.24,43.82,Top,270.0
60,17.62,47.31,Top,270.0
61,20.80,47.31,Top,90.0
62,27.46,47.31,Top,90.0
63,29.69,47.31,Top,270.0
64,23.02,43.82,Top,270.0
65,20.80,34.61,Top,90.0
66,23.02,34.61,Top,270.0
67,38.10,43.18,Top,0.0
68,42.55,47.31,Top,270.0
69,45.56,34.61,Top,90.0
70,47.78,34.61,Top,90.0
71,40.32,47.31,Top,90.0
72,43.34,34.61,Top,270.0
73,37.94,38.10,Top,270.0
74,35.40,47.31,Top,270.0
75,25.24,43.82,Top,270.0
76,31.91,47.31,Top,270.0
77,29.69,43.82,Top,270.0
78,29.69,38.10,Top,90.0
79,27.46,34.61,Top,270.0
80,29.69,34.61,Top,270.0
81,25.24,38.10,Top,90.0
82,35.40,34.61,Top,270.0
83,31.91,34.61,Top,270.0
84,14.29,38.10,Top,270.0
85,15.08,34.61,Top,270.0
86,17.46,34.61,Top,90.0
87,37.94,34.69,Top,270.0
88, 6.35,48.58,Top,90.0
89, 7.62,48.58,Top,90.0
90,46.20,38.10,Top,270.0
91,48.58,38.10,Top,270.0
92,45.96,43.26,Top,90.0
C1,41.12, 5.40,Top,270.0
C2,38.10,18.10,Top,90.0
C3,27.46,14.61,Top,270.0
C4,27.46, 8.89,Top,90.0
C5,53.98,18.36,Top,270.0
C6,54.48, 4.86,Top,90.0
C7, 2.22, 9.53,Top,180.0
C8,51.12,16.35,Top,270.0
C9, 6.35,16.35,Top,90.0
C10,19.21, 6.83,Top,90.0
C11, 6.35, 6.83,Top,90.0
C12,19.21,16.67,Top,90.0
C13,33.66,16.67,Top,90.0
C14,41.12,34.61,Top,270.0
C15,42.86, 7.94,Top,180.0
C16,33.66, 6.83,Top,90.0
C17,42.86,15.72,Top,0.0
C18,38.10,47.31,Top,90.0
C19,27.46,43.82,Top,270.0
C20,44.77,18.10,Top,270.0
C21,27.46,38.10,Top,90.0
C22,53.98,47.57,Top,270.0
C23,54.48,34.07,Top,90.0
C24, 2.22,38.73,Top,180.0
C25,33.66,36.04,Top,90.0
C26,19.21,36.04,Top,90.0
C27, 6.35,36.04,Top,90.0
C28,51.12,45.56,Top,270.0
C29, 6.35,45.56,Top,90.0
C30,19.21,45.88,Top,90.0
C31,33.66,45.88,Top,90.0
C32,42.86,37.15,Top,180.0
C33,42.86,44.93,Top,0.0
C34,44.77,47.31,Top,270.0
D1,10.79,18.10,Top,90.0
D2,13.02,18.10,Top,90.0
D3,23.02,18.10,Top,270.0
D4,25.24,18.10,Top,90.0
D5,10.79,47.31,Top,90.0
D6,13.02,47.31,Top,90.0
D7,23.02,47.31,Top,270.0
D8,25.24,47.31,Top,90.0
IC1, 6.35,11.75,Top,0.0
IC2,19.21,11.75,Top,0.0
IC3,33.66,11.75,Top,0.0
IC4, 6.35,40.96,Top,0.0
IC5,52.39,11.75,Top,0.0
IC6,19.21,40.96,Top,0.0
IC7,48.18,17.38,Top,180.0
IC8,42.31,11.75,Top,0.0
IC9,33.66,40.96,Top,0.0
IC10,52.39,40.96,Top,0.0
IC11,48.18,46.59,Top,180.0
IC12,42.31,40.96,Top,0.0
T1, 1.91,17.14,Top,180.0
T2, 1.91,46.36,Top,180.0
X1,27.94, 1.27,Top,0.0
X2,27.94,30.48,Top,0.0
