Comment,Designator,Footprint,LCSC Part #
1M2,R93,R0603,
1M5,R130 R150,R0402,
1N41480805,D1 D2,D0805-J,
1k,R128 R148 R149,R0402,
1k2,R145,R0603,
1k5,R94 R106 R108,R0603,
1k8,R122,R0603,
1n,C56,C0402-J,
1nF,C55,C0603,
1u,C59,C0402-J,
1uF,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C16 C17,C0402-J,
1uF,C18 C19 C20 C21 C22 C23,C0402,
1uF,C31 C32 C33 C34 C35 C36 C37 C38 C39 C40 C41 C42 C43 C46 C47,C0603,
1uF,C48 C50 C57,C0402-J,
2k7,R151,R0603,
2n3904,T2,SOT23-BEC,
3k3,R71 R116,R0603,
4.99k,R124,R0603,
4k7,R72 R118,R0603,
5k6,R140,R0603,
5nF,C13 C14 C15,C0402-J,
6k8,R133,R0603,
8k2,R84 R87 R97 R100,R0603,
10k,R1,R0402,
10k,R88 R107 R113 R117 R119,R0603,
10k,R120 R123 R125,R0402,
10k-DNM,R138,S64W,
10n,C53 C54,C0402-J,
10pF,C49,C0402-J,
15k,R91,R0603,
18k,R115 R132,R0603,
20k,R126,R0402,
22k,R3 R6 R9 R12 R15 R18 R21 R24 R27 R30 R33 R36,R0402,
24k,R109 R139,R0603,
30k,R144 R146 R147,R0402,
33k,R2 R5 R8 R11 R14 R17 R20 R23 R26 R29 R32 R35 R78,R0402,
33pF,C24 C25 C26 C27,C0402-J,
47k,R4 R7 R10 R13 R16 R19 R22 R25 R28 R31 R34 R37 R41 R42 R43 R44 R45 R46 R47 R48 R49 R50 R51 R52 R53 R54 R55 R56 R57 R58 R59 R60 R61 R62 R63 R64 R65 R66 R67 R68 R69 R77 R79 R80 R81 R82 R121,R0402,
47p,C30,C0805,
68k,R85 R95 R98 R101 R102 R103 R104 R129,R0603,
75k,R111,R0603,
79L05F,IC23,SOT89,
82k,R112,R0603,
100R,R38 R39 R40,R0402,
100k,R90 R105,R0603,
100k,R135 R136,R0402,
100n,C52,C0402-J,
100nF,C58,C0402-J,
105k,R110,R0603,
150k,R143,R0603,
200k,R134 R137,R0603,
220k,R73 R74 R75 R76 R114,R0603,
220p,C51,C0402-J,
270k,R141,R0402,
270p,C28 C29 C44 C45,C0402,
330k,R89,R0603,
470R,R127 R131,R0402,
470k,R142,R0603,
560R,R83 R86,R0603,
560R,R92,R0805,
560R,R96 R99,R0603,
AS3364D,DA1 DA2 DA3,DIL16J,
BC857BS,T1,SOT363J,
CEM3340J,IC21,DIL16J,
DG412-J,IC8 IC9 IC10 IC11,DIL16J,
DG419DJD,IC18,SO08,
DNM,R70,R0805,
JUMPER-SMT_2_NC_TRACE_SILK-DNM,JP1,SMT-JUMPER_2_NC_TRACE_SILK,
LM13700SL,IC13 IC16 IC17,SO16-NARROW-J,
MA06-1JN-DNM,X1 X2,MA06N-1J,
MA16-1JP-FEMALE,U$2 U$3,SIP-PIN16-1J,
MA16-1JP-FEMALE-ANGLED,U$6,SIP-PIN16-1J,
MCP9700TT,IC20,SOT23J,
MMBT3906LT1SMD,Q1 Q2 Q3,SOT23-BEC,
PCA9539PW,IC1,TSSOP24J,
TL072JT,IC3 IC5 IC6 IC7 IC12 IC14 IC15 IC19,TSSOP8J,
TL074JT,IC2 IC4 IC22,TSSOP14J,
