Designator,Mid X,Mid Y,Layer,Rotation
C1,11.11,23.34,Top,90.0
C2,26.99,23.34,Top,270.0
C3,61.91,23.34,Top,90.0
C4,77.79,23.34,Top,270.0
C5,35.24,23.34,Top,90.0
C6,52.07,23.34,Top,270.0
C7, 9.84,39.85,Top,90.0
C8,12.38,39.85,Top,90.0
C9,30.16,39.85,Top,90.0
C10,32.70,39.85,Top,90.0
C11,51.12,39.85,Top,90.0
C12,52.39,39.85,Top,90.0
C13,11.11,16.99,Top,270.0
C14,61.91,16.99,Top,270.0
C15,36.51,16.99,Top,270.0
C16,71.44,39.85,Top,90.0
C17,73.03,39.85,Top,90.0
C18, 9.53,23.34,Top,90.0
C19,28.26,23.34,Top,90.0
C20,59.37,31.43,Top,270.0
C21,56.83,16.99,Top,270.0
C22,79.06,23.34,Top,90.0
C23,29.69,33.97,Top,0.0
C24,49.21,29.85,Top,0.0
C25,49.21,33.34,Top,0.0
C26,56.83,29.85,Top,180.0
C27,56.83,33.34,Top,180.0
C28,42.86,71.28,Top,90.0
C29,40.80,57.63,Top,270.0
C30,44.45,78.26,Top,270.0
C31,39.37,64.29,Top,90.0
C32,43.82,58.58,Top,180.0
C33,28.26,57.63,Top,270.0
C34, 7.14,57.63,Top,270.0
C35,14.29,62.07,Top,270.0
C36,22.23,64.29,Top,90.0
C37,23.81,78.26,Top,90.0
C38,34.29,78.26,Top,90.0
C39, 2.22,78.26,Top,90.0
C40,45.72,71.28,Top,270.0
C41,28.26,71.28,Top,270.0
C42, 3.81,71.28,Top,270.0
C43,14.29,66.52,Top,270.0
C44,25.08,71.28,Top,90.0
C45,25.08,57.63,Top,270.0
C46,48.58,81.76,Top,180.0
C47,52.71,81.76,Top,0.0
C48,74.14,86.36,Top,180.0
C49,69.69,91.92,Top,180.0
C50,74.45,63.50,Top,270.0
C51,77.63,74.93,Top,90.0
C52,75.41,74.93,Top,270.0
C53,68.26,63.34,Top,90.0
C54,70.48,70.96,Top,0.0
C55,70.64,75.41,Top,270.0
C56,81.76,73.66,Top,90.0
C57,76.68,86.36,Top,180.0
C58,75.41,71.91,Top,90.0
C59,81.76,64.61,Top,90.0
D1,21.11,76.36,Top,270.0
D2, 7.62,77.63,Top,90.0
DA1,44.13,23.34,Top,0.0
DA2,18.73,23.34,Top,0.0
DA3,69.53,23.34,Top,0.0
IC1,37.47,31.59,Top,0.0
IC2,56.83,23.34,Top,180.0
IC3, 6.67,23.34,Top,90.0
IC4,53.02,31.59,Top,0.0
IC5,31.43,23.34,Top,90.0
IC6,81.60,23.34,Top,90.0
IC7,41.91,64.29,Top,270.0
IC8,12.38,39.85,Top,0.0
IC9,32.70,39.85,Top,0.0
IC10,53.02,39.85,Top,0.0
IC11,73.34,39.85,Top,0.0
IC12,25.08,64.29,Top,270.0
IC13,49.37,64.29,Top,180.0
IC14,36.83,78.26,Top,270.0
IC15, 5.08,78.26,Top,270.0
IC16,32.70,64.29,Top,180.0
IC17, 6.99,64.29,Top,180.0
IC18,18.41,64.35,Top,180.0
IC19,26.67,78.26,Top,270.0
IC20,50.48,77.95,Top,180.0
IC21,76.52,72.39,Top,90.0
IC22,75.56,89.54,Top,270.0
IC23,82.39,59.85,Top,180.0
JP1,78.42,59.69,Top,0.0
Q1,18.05,76.36,Top,90.0
Q2,11.19,77.63,Top,270.0
Q3,76.52,80.17,Top,180.0
R1,15.53,29.85,Top,0.0
R2,14.92,16.99,Top,90.0
R3,13.65,16.99,Top,90.0
R4,12.38,16.99,Top,90.0
R5,22.54,16.99,Top,90.0
R6,23.81,16.99,Top,90.0
R7,25.08,16.99,Top,90.0
R8,22.54,23.34,Top,90.0
R9,23.81,23.34,Top,90.0
R10,25.08,23.34,Top,90.0
R11,14.92,23.34,Top,90.0
R12,13.65,23.34,Top,90.0
R13,12.38,23.34,Top,90.0
R14,67.95,16.99,Top,90.0
R15,66.67,16.99,Top,90.0
R16,63.18,16.99,Top,90.0
R17,73.34,16.99,Top,90.0
R18,74.61,16.99,Top,90.0
R19,75.88,16.99,Top,90.0
R20,73.34,23.34,Top,90.0
R21,74.61,23.34,Top,90.0
R22,75.88,23.34,Top,90.0
R23,65.72,23.34,Top,90.0
R24,64.45,23.34,Top,90.0
R25,63.18,23.34,Top,90.0
R26,41.59,16.99,Top,90.0
R27,40.32,16.99,Top,90.0
R28,37.78,16.99,Top,90.0
R29,47.47,16.99,Top,90.0
R30,48.58,16.99,Top,90.0
R31,50.48,16.99,Top,90.0
R32,46.36,23.34,Top,90.0
R33,47.47,23.34,Top,90.0
R34,49.05,23.34,Top,90.0
R35,40.32,23.34,Top,90.0
R36,39.05,23.34,Top,90.0
R37,37.78,23.34,Top,90.0
R38, 9.84,16.99,Top,90.0
R39,60.64,16.99,Top,90.0
R40,35.24,16.99,Top,90.0
R41, 6.67,18.57,Top,0.0
R42,30.16,18.73,Top,0.0
R43,30.32,27.46,Top,0.0
R44, 6.67,28.10,Top,0.0
R45,58.10,16.99,Top,90.0
R46,81.60,18.41,Top,180.0
R47,81.60,28.42,Top,180.0
R48,56.83,27.62,Top,180.0
R49,42.86,23.34,Top,270.0
R50,55.56,16.99,Top,90.0
R51,42.86,16.99,Top,270.0
R52,53.34,23.34,Top,90.0
R53,18.73,38.89,Top,0.0
R54,18.73,40.80,Top,0.0
R55,39.05,38.89,Top,0.0
R56,39.05,40.80,Top,0.0
R57,26.35,38.89,Top,180.0
R58,26.35,40.80,Top,180.0
R59, 6.03,38.89,Top,180.0
R60, 6.03,40.80,Top,180.0
R61,60.33,38.89,Top,180.0
R62,60.33,40.80,Top,180.0
R63,79.69,38.89,Top,0.0
R64,79.69,40.80,Top,0.0
R65,66.99,38.89,Top,180.0
R66,66.99,40.80,Top,180.0
R67,46.67,38.89,Top,0.0
R68,46.67,40.80,Top,0.0
R69,45.40,16.99,Top,270.0
R70,64.93,16.03,Top,90.0
R71,29.21,76.36,Top,270.0
R72,50.80,71.28,Top,90.0
R73,55.25,38.58,Top,0.0
R74,55.25,41.12,Top,0.0
R75,75.88,38.58,Top,0.0
R76,75.88,41.12,Top,0.0
R77,35.24,39.85,Top,270.0
R78,33.97,39.85,Top,270.0
R79,49.21,28.73,Top,0.0
R80,49.21,34.45,Top,0.0
R81,56.83,28.73,Top,180.0
R82,56.83,34.45,Top,180.0
R83,53.98,71.28,Top,270.0
R84,56.20,71.28,Top,90.0
R85,48.74,56.20,Top,180.0
R86,48.74,58.58,Top,180.0
R87,56.20,64.29,Top,270.0
R88,14.29,76.99,Top,90.0
R89,32.23,80.49,Top,270.0
R90,40.01,78.26,Top,270.0
R91,42.23,78.26,Top,90.0
R92,55.88,78.26,Top,270.0
R93,41.91,81.60,Top,180.0
R94,47.31,76.04,Top,180.0
R95,35.88,71.28,Top,90.0
R96,33.34,71.28,Top,90.0
R97,39.69,71.28,Top,90.0
R98,36.83,57.63,Top,270.0
R99,34.61,57.63,Top,270.0
R100,39.05,57.63,Top,90.0
R101,48.26,71.28,Top,270.0
R102,45.24,56.20,Top,180.0
R103,30.80,71.28,Top,270.0
R104,32.07,57.63,Top,90.0
R105,21.11,57.63,Top,90.0
R106, 9.37,57.63,Top,270.0
R107,13.81,57.63,Top,270.0
R108,11.59,57.63,Top,270.0
R109,22.23,71.28,Top,270.0
R110,16.35,57.63,Top,270.0
R111,18.57,57.63,Top,270.0
R112, 6.35,71.28,Top,90.0
R113,10.79,71.28,Top,270.0
R114,29.21,80.17,Top,270.0
R115,21.59,80.17,Top,270.0
R116,19.37,80.17,Top,270.0
R117,10.79,81.44,Top,180.0
R118, 8.57,71.28,Top,270.0
R119,31.43,76.36,Top,270.0
R120,77.63,77.15,Top,90.0
R121,75.41,77.15,Top,90.0
R122,70.48,68.90,Top,90.0
R123,80.01,91.76,Top,0.0
R124,76.52,83.98,Top,0.0
R125,79.85,84.61,Top,0.0
R126,83.19,86.04,Top,0.0
R127,70.01,64.77,Top,90.0
R128,69.69,84.30,Top,0.0
R129,72.55,84.30,Top,90.0
R130,74.45,68.74,Top,270.0
R131,70.48,72.07,Top,0.0
R132,83.03,89.85,Top,180.0
R133,80.33,86.36,Top,180.0
R134,69.85,85.88,Top,0.0
R135,69.69,88.74,Top,0.0
R136,69.69,87.47,Top,0.0
R137,69.69,90.33,Top,180.0
R138,71.91,58.26,Top,0.0
R139,76.99,63.34,Top,180.0
R140,76.99,65.41,Top,180.0
R141,71.28,64.77,Top,270.0
R142,76.99,67.47,Top,180.0
R143,76.99,69.53,Top,0.0
R144,80.17,90.01,Top,0.0
R145,83.03,91.92,Top,0.0
R146,83.19,87.15,Top,0.0
R147,83.19,88.27,Top,180.0
R148,82.55,81.28,Top,90.0
R149,82.55,83.50,Top,90.0
R150,81.76,67.15,Top,90.0
R151,78.42,59.21,Top,90.0
T1,53.34,77.95,Top,90.0
T2,69.69,81.92,Top,90.0
U$2,64.45,11.27,Top,0.0
U$3,21.27,11.27,Top,0.0
U$6,20.96,83.98,Top,180.0
X1,83.50,72.39,Top,270.0
X2,68.26,72.39,Top,90.0
