Comment,Designator,Footprint,LCSC Part #
1M,R46,R0603,
1M2,R64,R0603,
1N41480805,D1 D2 D3 D4 D5,D0805-J,
1k,R12 R13 R14 R15 R17 R23 R38 R39,R0603,
1k,R44,R0805,
1k,R48,R0603,
1k5,R65,R0603,
1uF,C9 C11 C12 C15 C16 C17 C18 C22 C23 C24 C25 C26 C27 C28 C29 C30 C31 C33 C34 C35 C36 C37 C38 C39 C40 C41 C42,C0603,
3k3,R75,R0603,
3k9,R77 R78,R0603,
5k1,R50 R54,R0603,
5k6,R16 R73,R0603,
5p,C4 C8,C0603,
8k2,R4 R8 R11 R29 R32,R0603,
10k,R1 R25 R37 R40 R47 R51 R52 R53 R55 R68 R69,R0603,
15k,R61 R81,R0603,
18k,R76,R0603,
22k,R79,R0603,
22n,C13 C14 C19 C20,C0805,
30k,R72,R0603,
33k,R2 R22 R36,R0603,
33p,C1 C5 C32 C45,C0603,
47k,R3 R24,R0603,
47p,C10,C0603,
51R,R49,R0603,
56k,R43,R0603,
68k,R6 R9 R19 R27 R30 R33,R0603,
75k,R71,R0603,
100R,R60 R63 R66 R67,R0603,
100k,R5 R21 R26 R35 R41 R59 R74,R0603,
100p,C21,C0603,
100uF/6.3V,C43 C44,C1206,
105k,R70,R0603,
120k,R18 R42,R0603,
200R,R56 R58,R0603,
330R,R80,R0603,
330k,R57,R0603,
330p,C2 C3 C6 C7,C0603,
560R,R7 R10 R20 R28 R31 R34 R62,R0603,
820k,R45,R0603,
BC847BS,T2 T3 T4 T6 T7 T8,SOT363J,
BC857BS,T1,SOT363J,
DG403C-JSL,IC14,SO16-NARROW-J,
LM13700SL,IC3 IC4 IC7 IC10,SO16-NARROW-J,
MA16-1JN,U$3 U$6,MA16N-1J,
MCP9700TT,IC8 IC15,SOT23J,
MMBT3906LT1SMD,Q1 Q2 Q3,SOT23-BEC,
TL072JT,IC1 IC2 IC5 IC6 IC12 IC13,TSSOP8J,
TL074JT,IC9 IC11,TSSOP14J,
