Designator,Mid X,Mid Y,Layer,Rotation
C1, 3.49,25.40,Top,90.0
C2,19.37,12.70,Top,270.0
C3,20.00,25.40,Top,90.0
C4,31.43,12.70,Top,90.0
C5,39.05,25.40,Top,90.0
C6,55.25,12.70,Top,270.0
C7,57.47,25.40,Top,90.0
C8,34.29,25.40,Top,270.0
C9,11.11, 6.35,Top,90.0
C10,13.34, 6.35,Top,90.0
C11, 8.89, 6.35,Top,90.0
C12,57.47,12.70,Top,90.0
C13,28.58,59.69,Top,270.0
C14,23.50,59.69,Top,270.0
C15,21.91,19.05,Top,270.0
C16, 4.76,19.05,Top,270.0
C17,41.27,19.05,Top,270.0
C18,55.25,25.40,Top,90.0
C19,18.41,59.69,Top,270.0
C20,13.34,59.69,Top,270.0
C21,16.83,51.44,Top,90.0
C22,24.45,51.44,Top,270.0
C23,14.61,25.40,Top,90.0
C24,51.44,25.40,Top,90.0
C25,35.56,20.96,Top,90.0
C26,24.45,47.63,Top,270.0
C27,42.55,58.42,Top,90.0
C28,42.55,62.23,Top,90.0
C29,56.20,57.79,Top,270.0
C30,30.80, 8.26,Top,180.0
C31,48.26,43.18,Top,270.0
C32,51.44,39.69,Top,270.0
C33,53.66,43.50,Top,270.0
C34,12.38,47.63,Top,90.0
C35, 9.84,47.63,Top,90.0
C36,14.61,12.70,Top,90.0
C37,51.44,12.70,Top,90.0
C38,35.56,17.14,Top,90.0
C39,48.26,47.63,Top,270.0
C40,56.20,62.87,Top,270.0
C41,53.66,47.31,Top,270.0
C42,13.97,51.44,Top,270.0
C43, 6.35,66.04,Top,180.0
C44,12.07,66.04,Top,0.0
C45,53.50,39.69,Top,270.0
D1,40.01,12.70,Top,270.0
D2,41.59,12.70,Top,90.0
D3,41.59, 6.19,Top,270.0
D4,51.12,51.75,Top,90.0
D5,28.58,51.75,Top,0.0
IC1, 1.91,19.05,Top,90.0
IC2,19.05,19.05,Top,90.0
IC3,11.43,19.05,Top,0.0
IC4,28.58,19.05,Top,0.0
IC5,38.42,19.05,Top,90.0
IC6,56.83,19.05,Top,90.0
