Comment,Designator,Footprint,LCSC Part #
MA22N-1J,X1 X2,MA22N-1J,
1M,R38,R0402,
1N4148,D9 D10,SOD323J,
1N41480805,D1 D2 D3 D4 D5 D6 D7 D8,D0805-J,
1k,4 33 42 90,R0603,
1k,R27 R33 R34 R43 R45,R0402,
1k2,19 62 R16 R17,R0603,
1k5,R1 R2,R0402,
1uF,C8 C9 C10 C11 C12 C13 C15 C16 C17 C18 C19 C27 C28 C29 C30 C31 C32 C33 C35 C36 C37 C38 C39 C49 C50 C51 C52,C0402-J,
2k7,R5 R6 R13 R14,R0603,
2n2,C48,C0603-J,
2n3904,T1 T2,SOT23-BEC,
3k3,R31,R0402,
3n3,C46,C0603-J,
3pF,C7 C26,C0603-J,
4k7,R32,R0402,
6k8,R8 R12 R15,R0603,
8k2,R41,R0603,
10k,R22 R30 R44,R0402,
10n,C45,C0402-J,
10pF,C1 C2 C20 C21,C0603-J,
12k,R7 R11,R0402,
15k,20 21 63 86,R0603,
15k,R18 R19 R20 R21 R35 R48,R0402,
20k,25 28 29 30 67 70 71 72,R0603,
20k,R39 R40,R0402,
22k,22 64,R0603,
22n,C44,C0402-J,
24k,26 27 68 69,R0603,
27k,10 11 31 53 54 85,R0603,
30k,9 84,R0603,
30pF,C3 C4 C22 C23,C0603-J,
33k,32 48 82 87,R0603,
33k,R26 R42 R46,R0402,
47uF,C53 C54,C1206,
49.9k,38 41 44 46 74 77 78 80,R0603,
50k,15 58,R0603,
68k,3 37 R23 R25,R0603,
100k,2 6 7 12,R0603,
100k,13,R0402,
100k,14 16 23,R0603,
100k,24 34,R0402,
100k,35,R0603,
100k,36,R0402,
100k,39 47 49 50 51 55,R0603,
100k,56,R0402,
100k,57 59 65,R0603,
100k,66,R0402,
100k,73 75 81 83 89,R0603,
100k,91 92 R28 R37,R0402,
100n,C43,C0402-J,
100nF,C5 C6 C24 C25,C0603-J,
120k,40 45 76 79,R0603,
150k,18 61,R0603,
180k,R3 R4,R0402,
200k,5 8 17 43 52 60,R0603,
200k,R29,RTRIM3296W,
220k,R24,R0603,
220n,C47,C0402-J,
300k,R36,R0603,
470n,C40 C41 C42,C0603-J,
500R,R9 R10,RTRIM3296X,
510R,1 88,R0603,
510R,R47 R49,R0402,
820pF,C14 C34,C0603-J,
4013T,IC5 IC10,TSSOP14J,
LM311D,IC6 IC12,SO08J,
LM13700SL,IC14,SO16-NARROW-J,
MA06-1JN-DNM,X3 X4,MA06N-1J,
MA16-1JP-ANGLED,U$3 U$4 U$5 U$6,SIP-PIN16-1J,
MC1496DR2G,U1,SOIC127P600X175-14N,
MMBT3906,Q1,SOT23-BEC,
NOISE-2N3904-DNM,T3,NOISE-2N3904-J,
TL072JT,IC4 IC11,TSSOP8J,
TL074JT,IC1 IC2 IC3 IC7 IC8 IC9 IC13 IC15,TSSOP14J,
