Designator,Mid X,Mid Y,Layer,Rotation
1,50.80,18.10,Top,270.0
2,50.01, 5.40,Top,270.0
3, 4.60,18.10,Top,270.0
4, 1.27, 5.40,Top,270.0
5, 3.49, 5.40,Top,270.0
6, 8.10, 5.40,Top,90.0
7, 2.22,13.97,Top,0.0
8, 2.22,11.75,Top,180.0
9,14.29, 8.89,Top,270.0
10,10.48, 5.40,Top,270.0
11,12.54, 5.40,Top,90.0
12,10.79,14.64,Top,90.0
13, 8.73,18.10,Top,90.0
14,13.02,14.61,Top,90.0
15,15.24,18.10,Top,90.0
16,15.24,14.61,Top,270.0
17,17.62,18.10,Top,270.0
18,20.80,18.10,Top,90.0
19,27.46,18.10,Top,90.0
20,29.69,18.10,Top,270.0
21,17.46, 5.40,Top,90.0
22,23.02,14.61,Top,270.0
23,20.80, 5.40,Top,90.0
24,23.02, 5.40,Top,270.0
25,37.62,18.10,Top,90.0
26,44.29,18.10,Top,270.0
27,45.56, 5.40,Top,90.0
28,47.78, 5.40,Top,90.0
29,42.07,18.10,Top,90.0
30,43.34, 5.40,Top,270.0
31,15.08, 5.40,Top,270.0
32,37.94, 5.48,Top,270.0
33,52.23, 5.40,Top,90.0
34, 6.35,19.37,Top,90.0
35,37.94, 8.89,Top,270.0
36, 7.62,19.37,Top,90.0
37, 4.60,47.31,Top,270.0
38,35.40,18.10,Top,270.0
39,25.24,14.61,Top,270.0
40,31.91,18.10,Top,270.0
41,29.69,14.61,Top,270.0
42, 1.27,34.61,Top,270.0
43, 3.49,34.61,Top,270.0
44,29.69, 8.89,Top,90.0
45,27.46, 5.40,Top,270.0
46,29.69, 5.40,Top,270.0
47,25.24, 8.89,Top,90.0
48,35.40, 5.40,Top,270.0
49,31.91, 5.40,Top,270.0
50, 8.10,34.61,Top,90.0
51, 2.22,43.18,Top,0.0
52, 2.22,40.96,Top,180.0
53,10.48,34.61,Top,270.0
54,12.54,34.61,Top,90.0
55,10.79,43.85,Top,90.0
56, 8.73,47.31,Top,90.0
57,13.02,43.82,Top,90.0
58,15.24,47.31,Top,90.0
59,15.24,43.82,Top,270.0
60,17.62,47.31,Top,270.0
61,20.80,47.31,Top,90.0
62,27.46,47.31,Top,90.0
63,29.69,47.31,Top,270.0
64,23.02,43.82,Top,270.0
65,20.80,34.61,Top,90.0
66,23.02,34.61,Top,270.0
67,37.62,47.31,Top,90.0
68,44.29,47.31,Top,270.0
69,45.56,34.61,Top,90.0
70,47.78,34.61,Top,90.0
71,42.07,47.31,Top,90.0
72,43.34,34.61,Top,270.0
73,37.94,38.10,Top,270.0
74,35.40,47.31,Top,270.0
75,25.24,43.82,Top,270.0
76,31.91,47.31,Top,270.0
77,29.69,43.82,Top,270.0
78,29.69,38.10,Top,90.0
79,27.46,34.61,Top,270.0
80,29.69,34.61,Top,270.0
81,25.24,38.10,Top,90.0
82,35.40,34.61,Top,270.0
83,31.91,34.61,Top,270.0
84,14.29,38.10,Top,270.0
85,15.08,34.61,Top,270.0
86,17.46,34.61,Top,90.0
87,37.94,34.69,Top,270.0
88,50.80,47.31,Top,270.0
89,50.01,34.61,Top,270.0
90,52.23,34.61,Top,90.0
91, 6.35,48.58,Top,90.0
92, 7.62,48.58,Top,90.0
C1,41.12, 5.40,Top,270.0
C2,39.85,18.10,Top,90.0
C3,27.46,14.61,Top,270.0
C4,27.46, 8.89,Top,90.0
C5,52.86,18.10,Top,270.0
C6,54.45, 5.40,Top,90.0
C7, 2.22, 9.53,Top,180.0
C8,48.74,16.19,Top,0.0
C9, 6.35,16.35,Top,90.0
C10,19.21, 6.83,Top,90.0
C11, 6.35, 6.83,Top,90.0
C12,19.21,16.67,Top,90.0
C13,33.66,16.67,Top,90.0
C14,46.51,18.10,Top,90.0
C15,39.05,14.13,Top,270.0
C16,33.66, 6.83,Top,90.0
C17,43.50, 9.37,Top,270.0
C18,43.50,14.13,Top,270.0
C19,48.90, 7.46,Top,180.0
C20,41.12,34.61,Top,270.0
C21,39.85,47.31,Top,90.0
C22,27.46,43.82,Top,270.0
C23,27.46,38.10,Top,90.0
C24,52.86,47.31,Top,270.0
C25,54.45,34.61,Top,90.0
C26, 2.22,38.73,Top,180.0
C27,33.66,36.04,Top,90.0
C28,19.21,36.04,Top,90.0
C29, 6.35,36.04,Top,90.0
C30,48.74,45.40,Top,0.0
C31, 6.35,45.56,Top,90.0
C32,19.21,45.88,Top,90.0
C33,33.66,45.88,Top,90.0
C34,46.51,47.31,Top,90.0
C35,39.05,43.34,Top,270.0
C36,43.50,38.58,Top,270.0
C37,43.50,43.34,Top,270.0
C38,48.90,36.67,Top,180.0
C39,38.10,68.90,Top,90.0
C40,18.41,62.55,Top,90.0
C41,14.13,75.41,Top,270.0
C42,18.89,74.45,Top,90.0
C43,27.62,73.98,Top,270.0
C44,26.35,73.98,Top,270.0
C45,25.08,73.98,Top,270.0
C46,26.99,68.90,Top,90.0
C47,26.35,63.66,Top,270.0
C48,22.54,62.55,Top,270.0
C49,18.10,69.53,Top,0.0
C50,18.10,68.26,Top,180.0
C51,55.25,74.61,Top,90.0
C52,54.13,63.98,Top,0.0
C53,52.07,76.52,Top,0.0
C54,52.07,74.30,Top,0.0
D1,10.79,18.10,Top,90.0
D2,13.02,18.10,Top,90.0
D3,23.02,18.10,Top,270.0
D4,25.24,18.10,Top,90.0
D5,10.79,47.31,Top,90.0
D6,13.02,47.31,Top,90.0
D7,23.02,47.31,Top,270.0
D8,25.24,47.31,Top,90.0
D9,47.94,74.61,Top,90.0
D10,46.04,74.61,Top,270.0
IC1, 6.35,11.75,Top,0.0
IC2,19.21,11.75,Top,0.0
IC3,33.66,11.75,Top,0.0
IC4,41.27,11.75,Top,90.0
IC5,52.39,11.75,Top,0.0
IC6,46.67,11.75,Top,0.0
IC7, 6.35,40.96,Top,0.0
IC8,19.21,40.96,Top,0.0
IC9,33.66,40.96,Top,0.0
IC10,52.39,40.96,Top,0.0
IC11,41.27,40.96,Top,90.0
IC12,46.67,40.96,Top,0.0
IC13,21.91,68.90,Top,180.0
IC14,49.85,68.90,Top,0.0
IC15,41.27,68.90,Top,180.0
Q1,51.44,61.91,Top,90.0
R1,37.78,73.66,Top,270.0
R2,38.89,74.14,Top,90.0
R3,33.50,73.98,Top,270.0
R4,33.34,63.82,Top,90.0
R5,31.91,73.98,Top,90.0
R6,31.75,63.82,Top,270.0
R7,32.86,78.42,Top,0.0
R8,38.26,59.21,Top,180.0
R9,44.77,78.42,Top,270.0
R10,44.77,59.37,Top,270.0
R11,34.61,73.98,Top,90.0
R12,35.08,57.94,Top,180.0
R13,36.20,73.98,Top,90.0
R14,29.05,63.82,Top,90.0
R15,34.93,63.82,Top,90.0
R16,36.99,63.82,Top,270.0
R17,29.21,73.98,Top,90.0
R18,38.58,63.82,Top,90.0
R19,40.96,63.82,Top,270.0
R20,42.07,63.82,Top,270.0
R21,39.69,63.82,Top,90.0
R22,42.07,73.98,Top,90.0
R23,40.48,74.30,Top,270.0
R24,12.07,75.41,Top,90.0
R25,20.96,74.45,Top,90.0
R26,27.62,71.44,Top,90.0
R27,18.10,65.72,Top,0.0
R28,18.10,66.99,Top,180.0
R29,13.65,68.90,Top,0.0
R30,26.35,71.44,Top,90.0
R31,25.08,71.44,Top,90.0
R32,25.24,63.66,Top,270.0
R33,17.30,75.88,Top,270.0
R34,22.54,73.98,Top,270.0
R35,24.13,63.66,Top,90.0
R36,20.48,62.55,Top,90.0
R37,15.72,75.25,Top,270.0
R38,25.40,68.90,Top,270.0
R39,17.30,73.34,Top,270.0
R40,23.81,73.98,Top,270.0
R41,54.61,61.91,Top,270.0
R42,44.29,63.82,Top,90.0
R43,43.18,63.82,Top,270.0
R44,45.40,63.82,Top,270.0
R45,43.18,73.98,Top,270.0
R46,44.45,73.98,Top,270.0
R47,49.21,63.82,Top,90.0
R48,46.99,63.82,Top,90.0
R49,48.10,63.82,Top,90.0
T1, 1.91,17.14,Top,180.0
T2, 1.91,46.36,Top,180.0
T3,13.97,62.23,Top,180.0
U$3,72.13,20.32,Top,270.0
U$4,72.13,63.50,Top,270.0
U$5,76.47,20.32,Top,90.0
U$6,76.47,63.50,Top,90.0
U1,33.02,68.90,Top,90.0
X1,27.94, 1.27,Top,0.0
X2,27.94,30.48,Top,0.0
X3,32.70,61.28,Top,0.0
X4,32.70,76.52,Top,180.0
