Comment,Designator,Footprint,LCSC Part #
1k,R72 R83 R84 R85 R86 R87 R88 R89 R90 R91 R92 R93 R94 R95 R96 R97,R0402,C11702
1u,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C16 C17 C18 C19 C20 C21 C22 C23 C28 C29 C30 C31 C32,C0402,C694272
5n,C13 C14 C15,C0402,C1538
10k,R1,R0402,C25744
22k,R3 R6 R9 R12 R15 R18 R21 R24 R27 R30 R33 R36,R0402,C25768
33k,R2 R5 R8 R11 R14 R17 R20 R23 R26 R29 R32 R35 R78,R0402,C25779
33p,C24 C25 C26 C27,C0402,C1562
47k,R4 R7 R10 R13 R16 R19 R22 R25 R41 R42 R43 R44 R45 R46 R47 R48 R49 R50 R51 R52 R53 R54 R55 R56 R57 R58 R59 R60 R61 R62 R63 R64 R65 R66 R67 R68 R69 R71 R77 R79 R80 R81 R82 R98 R99,R0402,C25792
100R,R38 R39 R40,R0402,C25076
100k,R28 R31 R34 R37,R0402,C25741
220k,R73 R74 R75 R76,R0603,C22961
AS3364D,DA1 DA2 DA3,DIL16,C72130
DG412-J,IC8 IC9 IC10 IC11,DIL16,C72130
MA16-1JP-FEMALE,U$2 U$3,SIP-PIN16-1J,C7499334
PCA9539PW,IC1,TSSOP24,C2687996
TL072JT,IC3 IC6,TSSOP8,C90748
TL074JT,IC2 IC4 IC7,TSSOP14,C2652279
