Designator,Mid X,Mid Y,Layer,Rotation
C1,34.61,16.83,Top,270
C2,21.91,16.83,Top,270
C3,8.26,62.55,Top,180
C4,8.89,101.92,Top,90
C5,47.31,16.83,Top,270
C6,31.12,102.23,Top,180
C7,31.12,62.55,Top,180
C8,53.98,102.23,Top,180
C9,22.54,73.34,Top,270
C10,76.84,102.23,Top,180
C11,53.98,62.55,Top,180
C12,35.56,73.34,Top,270
C14,76.84,62.55,Top,180
CHAIN,95.57,10.16,Top,270
CHAIN1,89.54,74.3,Top,270
D9,10.48,37.15,Top,0
D10,10.48,35.56,Top,0
D11,10.48,33.97,Top,0
D12,10.48,32.38,Top,0
D13,10.48,30.8,Top,0
D14,10.48,29.21,Top,0
D15,10.48,27.62,Top,0
D16,10.48,26.04,Top,0
D17,34.61,37.15,Top,0
D18,34.61,35.56,Top,0
D19,34.61,33.97,Top,0
D20,34.61,32.38,Top,0
D21,34.61,30.8,Top,0
D22,34.61,29.21,Top,0
D23,34.61,27.62,Top,0
D24,34.61,26.04,Top,0
D25,22.54,37.15,Top,0
D26,22.54,35.56,Top,0
D27,22.54,33.97,Top,0
D28,22.54,32.38,Top,0
D29,22.54,30.8,Top,0
D30,22.54,29.21,Top,0
D31,22.54,27.62,Top,0
D32,22.54,26.04,Top,0
D33,58.74,37.15,Top,0
D34,58.74,35.56,Top,0
D35,58.74,33.97,Top,0
D36,58.74,32.38,Top,0
D37,58.74,30.8,Top,0
D38,58.74,29.21,Top,0
D39,58.74,27.62,Top,0
D40,58.74,26.04,Top,0
D41,46.67,37.15,Top,0
D42,46.67,35.56,Top,0
D43,46.67,33.97,Top,0
D44,46.67,32.38,Top,0
D45,46.67,30.8,Top,0
D46,46.67,29.21,Top,0
D47,46.67,27.62,Top,0
D48,46.67,26.04,Top,0
D57,70.8,37.15,Top,0
D58,70.8,35.56,Top,0
D59,70.8,33.97,Top,0
D60,70.8,32.38,Top,0
D61,70.8,30.8,Top,0
D62,70.8,29.21,Top,0
D63,70.8,27.62,Top,0
D64,70.8,26.04,Top,0
D73,82.87,37.15,Top,0
D74,82.87,35.56,Top,0
D75,82.87,33.97,Top,0
D76,82.87,32.38,Top,0
D77,82.87,30.8,Top,0
D78,82.87,29.21,Top,0
D79,82.87,27.62,Top,0
D80,82.87,26.04,Top,0
D89,94.93,37.15,Top,0
D90,94.93,35.56,Top,0
D91,94.93,33.97,Top,0
D92,94.93,32.38,Top,0
D93,94.93,30.8,Top,0
D94,94.93,29.21,Top,0
D95,94.93,27.62,Top,0
D96,94.93,26.04,Top,0
DATA,4.45,10.16,Top,270
DATA1,9.53,74.3,Top,270
IC1,28.89,70.8,Top,0
IC2,40.96,13.34,Top,0
IC3,28.26,13.34,Top,0
IC4,41.91,70.8,Top,0
IC5,53.66,13.34,Top,0
IC6,15.24,99.06,Top,0
IC7,38.1,99.06,Top,0
IC8,60.96,99.06,Top,0
IC9,15.24,59.37,Top,0
IC10,83.82,99.06,Top,0
IC11,38.1,59.37,Top,0
IC12,60.96,59.37,Top,0
IC13,83.82,59.37,Top,0
POTS0,15.24,89.54,Top,0
POTS1,38.1,89.54,Top,0
POTS2,60.96,89.54,Top,0
POTS3,83.82,89.54,Top,0
POTS4,15.24,49.85,Top,0
POTS5,38.1,49.85,Top,0
POTS6,60.96,49.85,Top,0
POTS7,83.82,49.85,Top,0
R1,73.98,17.78,Top,90
R2,71.44,17.78,Top,90
R3,69.22,17.78,Top,90
R4,66.67,17.78,Top,90
R5,73.98,9.53,Top,270
R6,71.44,9.53,Top,270
R7,69.22,9.53,Top,270
R8,66.67,9.53,Top,270
ROW0,4.45,31.43,Top,270
ROW1,16.51,31.43,Top,270
ROW2,28.58,31.43,Top,270
ROW3,40.64,31.43,Top,270
ROW4,52.71,31.43,Top,270
ROW5,64.77,31.43,Top,270
ROW6,76.84,31.43,Top,270
ROW7,88.9,31.43,Top,270
