Designator,Mid X,Mid Y,Layer,Rotation
C1,28.58,6.99,Top,180
C2,33.34,5.08,Top,270
C3,35.24,5.08,Top,270
C4,40.01,6.99,Top,0
IC1,10.16,5.08,Top,90
IC2,10.16,21.59,Top,90
IC3,36.83,21.59,Top,90
IC4,29.85,5.08,Top,180
IC5,38.73,5.08,Top,180
R1,19.37,3.81,Top,90
R2,19.37,20.32,Top,90
R3,14.92,3.81,Top,270
R4,14.92,20.32,Top,270
R5,27.62,21.59,Top,90
R6,46.04,20.64,Top,90
R7,32.38,21.59,Top,90
R8,41.59,20.64,Top,270
T1,17.14,4.76,Top,90
T2,17.14,21.27,Top,90
T3,29.85,21.59,Top,-90
T4,43.82,21.59,Top,90
X1,10.16,25.4,Top,0
X2,10.16,17.78,Top,180
X3,10.16,8.89,Top,0
X4,10.16,1.27,Top,180
X5,36.83,25.4,Top,0
X6,36.83,17.78,Top,180
X7,34.29,8.89,Top,0
X8,34.29,1.27,Top,180
